Ticker,Expected_Return,Optimal_Weights,Volatility,Sharpe_Ratio,Sparse_Weights,Sparse_Sharpe_Ratio
AAPL,-1.2692459,0.012879095521401108,0.013911589,-94.420975,0.012879098450203678,-94.420975
ABNB,-0.079682045,0.00518173695672149,0.021345535,-5.8083363,0.005181731857332871,-5.8083363
ADBE,0.0353329,0.009413797290964889,0.021144388,-0.42408895,0.009413800522754324,-0.42408895
ADI,-0.05323355,0.0034120116916625835,0.019157793,-5.091064,0.0034120177449542613,-5.091064
ADP,-0.0033409446,0.016499256098657364,0.011052344,-4.3104835,0.016499264899200144,-4.3104835
ADSK,0.0007005645,0.006828386917686764,0.016805792,-2.5943103,0.006828393609450882,-2.5943103
AEP,1.5829005,0.01940830539235067,0.012331479,124.77016,0.019408306975746564,124.77016
AMAT,-0.027416961,0.0,0.025376223,-2.826148,0.0,-2.826148
AMD,0.256678,0.0,0.030455291,6.9734344,0.0,6.9734344
AMGN,0.00705203,0.01462274606569325,0.015168345,-2.4556384,0.014622746001389979,-2.4556384
AMZN,-1.5232509,0.00760210124532738,0.017645946,-88.83349,0.007602094106537743,-88.83349
ANSS,0.012699393,0.008231458011043578,0.017843934,-1.7709441,0.008231465504864805,-1.7709441
ARM,-0.11815767,7.572474548453445e-19,0.0539803,-3.0095735,3.4050724479622874e-19,-3.0095735
ASML,0.19225602,0.0,0.027359653,5.4078174,0.0,5.4078174
AVGO,1.030709,2.303929616531697e-19,0.027880132,35.380356,2.879912020664621e-20,35.380356
AZN,-0.016837392,0.01834866005811665,0.012338611,-4.9549656,0.018348656304728136,-4.9549656
BIIB,-0.025019784,0.013569734074581761,0.016283305,-4.2571077,0.01356972553863252,-4.2571077
BKNG,0.00102889,0.010294301211465292,0.016181758,-2.6740673,0.010294299631712791,-2.6740673
BKR,-0.01469924,0.015992858065730784,0.015875215,-3.7164373,0.015992866125613646,-3.7164373
CCEP,0.043882955,0.016701629301586488,0.0107895415,-0.038652822,0.016701635658834035,-0.038652822
CDNS,-0.00193965,0.002999181834312416,0.020788783,-2.2242596,0.002999177056511476,-2.2242596
CDW,-0.20184913,0.010912444396106257,0.016027588,-15.35784,0.010912449057204782,-15.35784
CEG,0.014144155,0.008124356396190668,0.030259313,-0.9965806,0.008124357337223418,-0.9965806
CHTR,0.2827411,0.012235743143602295,0.023692602,10.063947,0.01223573823203313,10.063947
CMCSA,-0.07398714,0.015478212620474312,0.014105689,-8.385776,0.01547821137829071,-8.385776
COST,0.10025925,0.014527865562073347,0.01210668,4.6221795,0.014527871878025253,4.6221795
CPRT,-0.17234263,0.01142464069720554,0.013173444,-16.445406,0.011424645898983003,-16.445406
CRWD,-0.29962063,0.0033929571243595203,0.02819753,-12.196835,0.0033929541900842588,-12.196835
CSCO,-0.04704584,0.014419858755651192,0.012541903,-7.2832522,0.014419864173957467,-7.2832522
CSGP,0.012839381,0.010599854536012737,0.01777263,-1.7701725,0.010599852014135424,-1.7701725
CSX,-0.115384854,0.015339784742000682,0.011914363,-13.402719,0.015339786396500736,-13.402719
CTAS,0.032723673,0.013987834393240774,0.011763329,-0.98410314,0.013987841863717784,-0.98410314
CTSH,0.19407962,0.014160161127117446,0.012194375,12.282681,0.0141601498541821,12.282681
DASH,0.024890337,0.006346715461423325,0.024172947,-0.80294985,0.0063467084642191696,-0.80294985
DDOG,0.0073088543,0.003995086493705919,0.027890183,-1.3263142,0.003995092263332625,-1.3263142
DLTR,-1.2000148,0.013325962489993836,0.024127409,-51.572666,0.013325964061536535,-51.572666
